k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
35,uniform,fasttext,crawl-300d-2M-subword.bin,bin,1,0.4735096384740754,0.8927292838895482,0.0,0.8940197106286737,0.0
35,uniform,fasttext,crawl-300d-2M-subword.bin,bin,2,0.46708369344638595,0.8986583239513368,0.0,0.8977742626964758,0.0
35,uniform,fasttext,crawl-300d-2M-subword.bin,bin,3,0.4257112689411994,0.9182412475533643,0.0,0.9172160463653138,0.0
35,uniform,fasttext,crawl-300d-2M-subword.bin,bin,4,0.43417731403769777,0.9145280566222578,0.0,0.916152545933028,0.0
35,uniform,fasttext,crawl-300d-2M-subword.bin,bin,5,0.4542691392725905,0.9058930697538887,0.0,0.9049994537524547,0.0
35,uniform,fasttext,crawl-300d-2M-subword.bin,bin,all,0.4509502108343898,0.9060099963540791,0.0,0.9060324038751892,0.0
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.46899143476832855,0.8947560494812675,0.0,0.8959641916397655,0.0
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.46317379054671326,0.9002738086254878,0.0,0.8994612641431523,0.0
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.42126251652437763,0.9199872976331684,0.0,0.9190577406708459,0.0
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.42960758838733343,0.9163883376152819,0.0,0.9178927231043174,0.0
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.4496359247237378,0.9076475301126296,0.0,0.9068038280769432,0.0
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.44653425099009814,0.907810604693567,0.0,0.907835949527005,0.0
